hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
כפר מונש,913.0,16.0,5.0,0.0,0.0,0.0,60.0,506.0386997,3915.0,32.3475348,34.9162242,מועצה אזורית עמק חפר,ישוב
רשפים,1256.0,-114.0,1.0,1.0,0.0,0.0,58.0,659.3615597400001,2509.0,32.4818532,35.4775438,מועצה אזורית עמק המעיינות,ישוב
חניאל,916.0,340.0,11.0,0.0,0.0,0.0,60.0,507.7014603,3915.0,32.3321351,34.9485815,מועצה אזורית עמק חפר,ישוב
גן יאשיה,1040.0,39.0,4.0,0.0,0.0,0.0,59.0,576.4296128,3915.0,32.3506691,34.9954017,מועצה אזורית עמק חפר,ישוב
טירת צבי,1021.0,-219.0,1.0,1.0,0.0,0.0,58.0,475.08146562,2509.0,32.4218582,35.5279708,מועצה אזורית עמק המעיינות,ישוב
חופית,815.0,4.0,5.0,0.0,0.0,0.0,61.0,451.7212954,3915.0,32.3856586,34.8755505,מועצה אזורית עמק חפר,ישוב
גן השומרון,861.0,32.0,4.0,0.0,0.0,0.0,68.0,443.4619113,6667.0,32.4639095,34.9984491,מועצה אזורית מנשה,ישוב
הדר עם,686.0,37.0,4.0,0.0,0.0,0.0,61.0,380.2218529,3915.0,32.3490842,34.9005646,מועצה אזורית עמק חפר,ישוב
עולש,1192.0,36.0,8.0,0.0,0.0,0.0,59.0,660.6770205,3915.0,32.3317108,34.9862175,מועצה אזורית עמק חפר,ישוב
חרב לאת,940.0,45.0,7.0,0.0,0.0,0.0,61.0,521.0037014,3915.0,32.4012716,34.9170982,מועצה אזורית עמק חפר,ישוב
מכמורת,1506.0,12.0,7.0,0.0,0.0,0.0,62.0,834.7144159,3915.0,32.4062774,34.8728998,מועצה אזורית עמק חפר,ישוב
חבצלת השרון,474.0,70.0,6.0,0.0,0.0,0.0,62.0,262.718876,3915.0,32.3610498,34.8616896,מועצה אזורית עמק חפר,ישוב
כפר נטר,1143.0,24.0,10.0,0.0,0.0,0.0,62.0,618.0309568,3021.0,32.279642,34.8769601,מועצה אזורית חוף השרון,ישוב
רשפון,1471.0,26.0,6.0,0.0,0.0,0.0,63.0,795.3836721,3021.0,32.1995547,34.8244371,מועצה אזורית חוף השרון,ישוב
כפר זיתים,819.0,51.0,5.0,0.0,0.0,0.0,71.0,399.66216,4622.0,32.8106577,35.4637873,מועצה אזורית גליל תחתון,ישוב
דוב״ב,464.0,4.0,6.0,0.0,0.0,0.0,71.0,246.6480957,7875.0,33.0524574,35.4074874,מועצה אזורית מרום הגליל,ישוב
רומת היב,2217.0,192.0,13.0,0.0,0.0,0.0,69.0,1016.072243,664.0,32.7784833,35.305222,מועצה אזורית אל בטוף,ישוב
עוזיר,3511.0,176.0,17.0,0.0,0.0,0.0,69.0,1609.124786,664.0,32.7900696,35.3271751,מועצה אזורית אל בטוף,ישוב
דמיידה,563.0,175.0,7.0,0.0,0.0,0.0,66.0,266.7827238,8060.0,32.8154622,35.2271343,מועצה אזורית משגב,ישוב
